question_no,format,category,source_term,difficulty,batch,status,notes
217,marubatsu,金融商品取引法,先物取引の規制,standard,22,done,
218,marubatsu,金融商品取引法,取引所金融商品市場,standard,22,done,
219,marubatsu,金融商品取引法,信託業務,standard,22,done,
220,marubatsu,その他法令・業務,元本欠損リスク,standard,22,done,
221,marubatsu,金融商品・サービス,コールオプション,standard,23,done,phase2
222,marubatsu,金融商品・サービス,プットオプション,standard,23,done,
223,marubatsu,金融商品・サービス,損益通算,standard,23,done,
224,marubatsu,勧誘・販売規則,ザラバ方式,standard,23,done,
225,marubatsu,勧誘・販売規則,受渡日,standard,23,done,
226,marubatsu,勧誘・販売規則,自己取引,standard,23,done,
227,marubatsu,金融商品取引法,形式主義の排除,standard,23,done,
228,marubatsu,金融商品取引法,有価証券の売買等の規制,standard,23,done,
229,marubatsu,金融商品取引法,発行者以外の者による公開買付け,standard,23,done,
230,marubatsu,その他法令・業務,業務の適正な確保,standard,23,done,
231,marubatsu,金融商品・サービス,MBO,standard,24,done,phase2
232,marubatsu,金融商品・サービス,ストックオプション,standard,24,done,
233,marubatsu,金融商品・サービス,源泉徴収,standard,24,done,
234,marubatsu,勧誘・販売規則,板寄せ方式,standard,24,done,
235,marubatsu,勧誘・販売規則,逆指値注文,standard,24,done,
236,marubatsu,勧誘・販売規則,証券ローン,standard,24,done,
237,marubatsu,金融商品取引法,適格機関投資家,standard,24,done,
238,marubatsu,金融商品取引法,顧客勘定,standard,24,done,
239,marubatsu,金融商品取引法,金融商品取引業協会,standard,24,done,
240,marubatsu,その他法令・業務,反社会的勢力との取引禁止,standard,24,done,
241,marubatsu,金融商品・サービス,私募投信,standard,25,done,phase2
242,marubatsu,金融商品・サービス,MMF,standard,25,done,
243,marubatsu,金融商品・サービス,純資産総額,standard,25,done,
244,marubatsu,勧誘・販売規則,特別気配,standard,25,done,
245,marubatsu,勧誘・販売規則,立会外分売,standard,25,done,
246,marubatsu,勧誘・販売規則,名義書換,standard,25,done,
247,marubatsu,金融商品取引法,認可金融商品取引業協会,standard,25,done,
248,marubatsu,金融商品取引法,継続的能力,standard,25,done,
249,marubatsu,金融商品取引法,通報者保護制度,standard,25,done,
250,marubatsu,その他法令・業務,勧誘方針,standard,25,done,
251,marubatsu,金融商品・サービス,日経225先物,standard,26,done,phase2
252,marubatsu,金融商品・サービス,値洗い,standard,26,done,
253,marubatsu,金融商品・サービス,市場区分,standard,26,done,
254,marubatsu,勧誘・販売規則,ブロックトレード,standard,26,done,
255,marubatsu,勧誘・販売規則,VWAP,standard,26,done,
256,marubatsu,勧誘・販売規則,STP,standard,26,done,
257,marubatsu,金融商品取引法,書面の交付又は電磁的方法による提供,standard,26,done,
258,marubatsu,金融商品取引法,基準日,standard,26,done,
259,marubatsu,金融商品取引法,電子公告,standard,26,done,
260,marubatsu,その他法令・業務,内部統制システム,standard,26,done,
261,marubatsu,金融商品・サービス,公社債投信,standard,27,done,phase2
262,marubatsu,金融商品・サービス,ノーロード投信,standard,27,done,
263,marubatsu,金融商品・サービス,裁定取引,standard,27,done,
264,marubatsu,勧誘・販売規則,アルゴリズム取引,standard,27,done,
265,marubatsu,勧誘・販売規則,ディスクロージャー,standard,27,done,
266,marubatsu,勧誘・販売規則,ラップ口座,standard,27,done,
267,marubatsu,金融商品取引法,株式分割の事前開示,standard,27,done,
268,marubatsu,金融商品取引法,第二種少額電子募集取扱業,standard,27,done,
269,marubatsu,金融商品取引法,株主代表訴訟,standard,27,done,
270,marubatsu,その他法令・業務,オペレーショナルリスク,standard,27,done,
271,marubatsu,金融商品・サービス,グロース市場,standard,28,done,phase2
272,marubatsu,金融商品・サービス,スタンダード市場,standard,28,done,
273,marubatsu,金融商品・サービス,ファンド・オブ・ファンド,standard,28,done,
274,marubatsu,勧誘・販売規則,ハイフリークエンシートレーディング,standard,28,done,
275,marubatsu,勧誘・販売規則,最良執行の原則,standard,28,done,
276,marubatsu,勧誘・販売規則,サーキットブレーカー,standard,28,done,
277,marubatsu,金融商品取引法,第一種少額電子募集取扱業,standard,28,done,
278,marubatsu,金融商品取引法,ファンドレビュー,standard,28,done,
279,marubatsu,金融商品取引法,訴訟持株,standard,28,done,
280,marubatsu,その他法令・業務,信用リスク,standard,28,done,
281,marubatsu,金融商品・サービス,オルタナティブ投信,standard,29,done,phase2
282,marubatsu,金融商品・サービス,転換社債,standard,29,done,
283,marubatsu,金融商品・サービス,社債,standard,29,done,
284,marubatsu,勧誘・販売規則,プロの投資家,standard,29,done,
285,marubatsu,勧誘・販売規則,私的勧誘,standard,29,done,
286,marubatsu,勧誘・販売規則,契約締結前交付書面,standard,29,done,
287,marubatsu,金融商品取引法,財務諸表,standard,29,done,
288,marubatsu,金融商品取引法,みなし公募,standard,29,done,
289,marubatsu,金融商品取引法,臨時報告書,standard,29,done,
290,marubatsu,その他法令・業務,流動性リスク,standard,29,done,
291,marubatsu,金融商品・サービス,受益証券,standard,30,done,phase2
292,marubatsu,金融商品・サービス,国債,standard,30,done,
293,marubatsu,金融商品・サービス,インデックス投信,standard,30,done,
294,marubatsu,勧誘・販売規則,目論見書,standard,30,done,
295,marubatsu,勧誘・販売規則,不適当な勧誘,standard,30,done,
296,marubatsu,勧誘・販売規則,代理,standard,30,done,
297,marubatsu,金融商品取引法,虚偽記載,standard,30,done,
298,marubatsu,金融商品取引法,適時開示,standard,30,done,
299,marubatsu,金融商品取引法,外務員,standard,30,done,
300,marubatsu,その他法令・業務,市場リスク,standard,30,done,
301,marubatsu,金融商品・サービス,普通株式,standard,31,done,phase2
302,marubatsu,金融商品・サービス,優先株式,standard,31,done,
303,marubatsu,金融商品・サービス,新株予約権,standard,31,done,
304,marubatsu,勧誘・販売規則,利益相反管理,standard,31,done,
305,marubatsu,勧誘・販売規則,勧誘規則,standard,31,done,
306,marubatsu,勧誘・販売規則,高齢者への勧誘,standard,31,done,
307,marubatsu,金融商品取引法,内部管理責任者,standard,31,done,
308,marubatsu,金融商品取引法,説の流布,standard,31,done,
309,marubatsu,金融商品取引法,偽計行為,standard,31,done,
310,marubatsu,その他法令・業務,バックオフィス,standard,31,done,
311,marubatsu,金融商品・サービス,種類株式,standard,32,done,phase2
312,marubatsu,金融商品・サービス,地方債,standard,32,done,
313,marubatsu,金融商品・サービス,自己株式,standard,32,done,
314,marubatsu,勧誘・販売規則,金融商品の販売等に関する法律,standard,32,done,
315,marubatsu,勧誘・販売規則,投資目的,standard,32,done,
316,marubatsu,勧誘・販売規則,投資経験,standard,32,done,
317,marubatsu,金融商品取引法,第一種外務員,standard,32,done,
318,marubatsu,金融商品取引法,重要事実,standard,32,done,
319,marubatsu,金融商品取引法,5％ルール,standard,32,done,
320,marubatsu,その他法令・業務,内部牽制,standard,32,done,
321,marubatsu,金融商品・サービス,有価証券,standard,33,done,phase2
322,marubatsu,金融商品・サービス,社債券,standard,33,done,
323,marubatsu,金融商品・サービス,配当,standard,33,done,
324,marubatsu,勧誘・販売規則,資産状況,standard,33,done,
325,marubatsu,勧誘・販売規則,知識及び経験,standard,33,done,
326,marubatsu,勧誘・販売規則,販売等の勧誘,standard,33,done,
327,marubatsu,金融商品取引法,金融商品取引法,standard,33,done,
328,marubatsu,金融商品取引法,登録金融機関,standard,33,done,
329,marubatsu,金融商品取引法,大量保有報告制度,standard,33,done,
330,marubatsu,その他法令・業務,モニタリング,standard,33,done,
331,marubatsu,金融商品・サービス,記名式有価証券,standard,34,done,phase2
332,marubatsu,金融商品・サービス,無記名式有価証券,standard,34,done,
333,marubatsu,金融商品・サービス,上場株式,standard,34,done,
334,marubatsu,勧誘・販売規則,募集又は売出し,standard,34,done,
335,marubatsu,勧誘・販売規則,信用取引,standard,34,done,
336,marubatsu,勧誘・販売規則,金融サービス提供法,standard,34,done,
337,marubatsu,金融商品取引法,有価証券届出書,standard,34,done,
338,marubatsu,金融商品取引法,四半期報告書,standard,34,done,
339,marubatsu,金融商品取引法,公開買付け制度,standard,34,done,
340,marubatsu,その他法令・業務,記録保存,standard,34,done,
341,marubatsu,金融商品・サービス,株式分割,standard,35,done,
342,marubatsu,金融商品・サービス,剰余金の配当,standard,35,done,
343,marubatsu,金融商品・サービス,譲渡制限株式,standard,35,done,
344,marubatsu,勧誘・販売規則,ディスクロージャー,standard,35,done,
345,marubatsu,勧誘・販売規則,空売り,standard,35,done,
346,marubatsu,勧誘・販売規則,保証金,standard,35,done,
347,marubatsu,金融商品取引法,変更報告書,standard,35,done,
348,marubatsu,金融商品取引法,自己株券買付,standard,35,done,
349,marubatsu,金融商品取引法,半期報告書,standard,35,done,
350,marubatsu,その他法令・業務,犯罪収益移転防止法,standard,35,done,
351,single,金融商品・サービス,単元株式数,standard,36,done,
352,single,金融商品・サービス,中間配当,standard,36,done,
353,single,金融商品・サービス,議決権,standard,36,done,
354,single,勧誘・販売規則,投資一任契約,standard,36,done,
355,single,勧誘・販売規則,追証,standard,36,done,
356,single,勧誘・販売規則,強制決済,standard,36,done,
357,single,金融商品取引法,有価証券報告書,standard,36,done,
358,single,金融商品取引法,住基法,standard,36,done,
359,single,金融商品取引法,公開買付届出書,standard,36,done,
360,single,その他法令・業務,取引時確認,standard,36,done,
361,single,金融商品・サービス,株式併合,standard,37,done,
362,single,金融商品・サービス,REIT,standard,37,done,
363,single,金融商品・サービス,分配金,standard,37,done,
364,single,勧誘・販売規則,契約締結時交付書面,standard,37,done,
365,single,勧誘・販売規則,利益相反管理,standard,37,done,
366,single,勧誘・販売規則,勧誘方針,standard,37,done,
367,single,金融商品取引法,臨時報告書,standard,37,done,
368,single,金融商品取引法,内部管理責任者,standard,37,done,
369,single,金融商品取引法,業務部門分離,standard,37,done,
370,single,その他法令・業務,苦情処理,standard,37,done,
371,single,金融商品・サービス,優先株式,standard,38,done,
372,single,金融商品・サービス,証券総合口座,standard,38,done,
373,single,金融商品・サービス,つみたてNISA,standard,38,done,
374,single,勧誘・販売規則,ディスクロージャー,standard,38,done,
375,single,勧誘・販売規則,サーキットブレーカー,standard,38,done,
376,single,勧誘・販売規則,ベストエフォート方式,standard,38,done,
377,single,金融商品取引法,ファンドレビュー,standard,38,done,
378,single,金融商品取引法,みなし公募,standard,38,done,
379,single,金融商品取引法,5％ルール,standard,38,done,
380,single,その他法令・業務,記録保存,standard,38,done,
381,single,金融商品・サービス,ノーロード投信,standard,39,done,
382,single,金融商品・サービス,MMF,standard,39,done,
383,single,金融商品・サービス,公社債投信,standard,39,done,
384,single,金融商品・サービス,プライム市場,standard,39,done,
385,single,金融商品・サービス,グロース市場,standard,39,done,
386,single,勧誘・販売規則,値幅制限,standard,39,done,
387,single,勧誘・販売規則,ザラバ方式,standard,39,done,
388,single,勧誘・販売規則,自己取引,standard,39,done,
389,single,金融商品取引法,顧客勘定,standard,39,done,
390,single,その他法令・業務,疑わしい取引の届出,standard,39,done,
391,single,金融商品・サービス,インデックス投信,standard,40,done,
392,single,金融商品・サービス,社債券,standard,40,done,
393,single,金融商品・サービス,スタンダード市場,standard,40,done,
394,single,金融商品・サービス,ブックビルディング,standard,40,done,
395,single,金融商品・サービス,転換社債,standard,40,done,
396,single,勧誘・販売規則,制度信用取引,standard,40,done,
397,single,勧誘・販売規則,一般信用取引,standard,40,done,
398,single,勧誘・販売規則,PTS,standard,40,done,
399,single,金融商品取引法,登録金融機関,standard,40,done,
400,single,その他法令・業務,コンプライアンス,standard,40,done,
401,single,金融商品・サービス,国債,standard,41,done,
402,single,金融商品・サービス,私募投信,standard,41,done,
403,single,金融商品・サービス,ファンド・オブ・ファンド,standard,41,done,
404,single,金融商品・サービス,オルタナティブ投信,standard,41,done,
405,single,勧誘・販売規則,店頭売買,standard,41,done,
406,single,勧誘・販売規則,店頭有価証券,standard,41,done,
407,single,勧誘・販売規則,空売り,standard,41,done,
408,single,勧誘・販売規則,最良執行の原則,standard,41,done,
409,single,勧誘・販売規則,SOR,standard,41,done,
410,single,その他法令・業務,倫理綱領,standard,41,done,
411,single,金融商品・サービス,有価証券の引受け,standard,42,done,
412,single,勧誘・販売規則,金融商品仲介業,standard,42,done,
413,single,勧誘・販売規則,投資助言業,standard,42,done,
414,single,勧誘・販売規則,投資助言契約,standard,42,done,
415,single,勧誘・販売規則,寄付,standard,42,done,
416,single,勧誘・販売規則,板寄せ方式,standard,42,done,
417,single,勧誘・販売規則,ストップ高,standard,42,done,
418,single,その他法令・業務,マネーロンダリング,standard,42,done,
419,single,その他法令・業務,テロ資金供与,standard,42,done,
420,single,その他法令・業務,取引約款,standard,42,done,
421,single,勧誘・販売規則,指値注文,standard,43,done,
422,single,勧誘・販売規則,成行注文,standard,43,done,
423,single,勧誘・販売規則,逆指値注文,standard,43,done,
424,single,勧誘・販売規則,ストップ安,standard,43,done,
425,single,勧誘・販売規則,貸株,standard,43,done,
426,single,勧誘・販売規則,委託証拠金,standard,43,done,
427,single,その他法令・業務,業務の適正な確保,standard,43,done,
428,single,その他法令・業務,バックオフィス,standard,43,done,
429,single,その他法令・業務,内部牽制,standard,43,done,
430,single,その他法令・業務,業務規程,standard,43,done,
431,single,勧誘・販売規則,保証金,standard,44,done,
432,single,勧誘・販売規則,投資経験,standard,44,done,
433,single,勧誘・販売規則,信用取引,standard,44,done,
434,single,勧誘・販売規則,証券ローン,standard,44,done,
435,single,その他法令・業務,保証金信託,standard,44,done,
436,single,金融商品取引法,法令遵守体制,standard,44,done,
437,single,金融商品取引法,リスク管理,standard,44,done,
438,single,金融商品取引法,通報者保護制度,standard,44,done,
439,single,その他法令・業務,職務分掌,standard,44,done,
440,single,その他法令・業務,権限管理,standard,44,done,
441,single,勧誘・販売規則,投資目的,standard,45,done,
442,single,勧誘・販売規則,知識及び経験,standard,45,done,
443,single,勧誘・販売規則,資産状況,standard,45,done,
444,single,勧誘・販売規則,建玉,standard,45,done,
445,single,勧誘・販売規則,維持率,standard,45,done,
446,single,勧誘・販売規則,日計り取引,standard,45,done,
447,single,金融商品・サービス,値洗い,standard,45,done,
448,single,その他法令・業務,内部監査,standard,45,done,
449,single,金融商品・サービス,現物取引,standard,45,done,
450,single,その他法令・業務,フロント,standard,45,done,
451,single,勧誘・販売規則,信用買い,standard,46,done,
452,single,勧誘・販売規則,信用売り,standard,46,done,
453,single,金融商品・サービス,証拠金,standard,46,done,
454,single,勧誘・販売規則,代用証券,standard,46,done,
455,single,勧誘・販売規則,貸株料,standard,46,done,
